resp,no2,so2,rsp,o3,temp,hum,day,month,year,date,weekday
114,74.69,21.3,142.82,47.56,15.53,69,1,1,1994,1/1/1994,sat
136,64.81,12.35,99,48.25,16.94,77.14,2,1,1994,1/2/1994,sun
142,90.17,44.53,74,8.92,19.5,79.43,3,1,1994,1/3/1994,mon
125,78.79,26.41,71.67,45.47,18.51,76,4,1,1994,1/4/1994,tue
138,74.97,20.99,85.33,46.31,18.83,76,5,1,1994,1/5/1994,wed
95,102.92,46.73,99,19.25,19.48,73,6,1,1994,1/6/1994,thur
121,63.9,15.42,99,35.6,18.75,79.83,7,1,1994,1/7/1994,fri
96,78.98,36.19,102.67,7.69,18.71,81.29,8,1,1994,1/8/1994,sat
89,97.26,48.93,128.21,19.44,18.41,82.57,9,1,1994,1/9/1994,sun
135,76.84,21.66,86.58,24.13,19.1,82,10,1,1994,1/10/1994,mon
110,61.12,14.79,79.33,36.13,18.16,81,11,1,1994,1/11/1994,tue
111,70.85,24.27,62.96,20.63,18.7,80.57,12,1,1994,1/12/1994,wed
104,62.47,26.88,72.5,8.31,16.61,74.29,13,1,1994,1/13/1994,thur
98,43.08,16.66,36.04,5.38,12.23,77.57,14,1,1994,1/14/1994,fri
100,53.41,14.49,52.18,26.46,15.01,79.71,15,1,1994,1/15/1994,sat
90,56.1,12.7,53.21,29.25,18.86,83.14,16,1,1994,1/16/1994,sun
131,65.25,21.64,48.79,17.71,20.66,83.43,17,1,1994,1/17/1994,mon
102,55.71,29.6,71.68,6.69,18.07,81.29,18,1,1994,1/18/1994,tue
114,39.89,13.15,40.5,10.8,13.23,74.71,19,1,1994,1/19/1994,wed
96,38.9,18.9,51.5,5.19,10.79,74.71,20,1,1994,1/20/1994,thur
96,60.1,21.32,57.29,31.06,9.34,46.29,21,1,1994,1/21/1994,fri
87,68.63,27.51,73.71,12,10.17,46,22,1,1994,1/22/1994,sat
98,72.19,24.29,73.95,44.25,12.09,51.57,23,1,1994,1/23/1994,sun
134,78.37,24.61,99,40.94,14.46,59.57,24,1,1994,1/24/1994,mon
145,97.96,40.8,99,27.69,14.7,64.86,25,1,1994,1/25/1994,tue
108,111.44,41.53,94.04,31.94,15.81,70.43,26,1,1994,1/26/1994,wed
126,91.4,33.54,93.86,25.56,16.19,63.71,27,1,1994,1/27/1994,thur
128,98.73,35.39,114.39,29.38,15.57,64.71,28,1,1994,1/28/1994,fri
140,66.88,20.7,95.25,46.88,16.33,60,29,1,1994,1/29/1994,sat
121,48.96,12.49,63.71,42.06,15.51,64.43,30,1,1994,1/30/1994,sun
138,61.55,16.11,47.58,27.38,18.41,74.29,31,1,1994,1/31/1994,mon
136,106.94,38.64,72.05,18.37,21.14,77,1,2,1994,2/1/1994,tue
133,65.37,20.04,87.59,19,16.87,69.71,2,2,1994,2/2/1994,wed
105,58.15,12.08,57.27,36.44,16.21,72.86,3,2,1994,2/3/1994,thur
117,63.49,12.12,42.33,20.51,18.1,78.86,4,2,1994,2/4/1994,fri
123,76.89,16.95,70.13,9.88,20.7,84.57,5,2,1994,2/5/1994,sat
117,71.35,30.28,61.25,12.81,21.07,86.71,6,2,1994,2/6/1994,sun
113,65.64,29.81,47.39,11.69,18.8,89.71,7,2,1994,2/7/1994,mon
122,70.81,25.01,80.13,6.93,19.73,84.14,8,2,1994,2/8/1994,tue
93,50.64,13.34,64.35,47.5,19.33,66.57,9,2,1994,2/9/1994,wed
95,40.52,4,77.92,57.69,16.39,79.14,10,2,1994,2/10/1994,thur
161,61.57,12.22,82.58,10.63,20.34,89.86,11,2,1994,2/11/1994,fri
142,37.72,6.98,34.04,21.5,18.26,83.57,12,2,1994,2/12/1994,sat
127,32.93,2.75,25.21,48.31,15.1,84,13,2,1994,2/13/1994,sun
145,49.71,8.24,39.29,24,18.49,85.86,14,2,1994,2/14/1994,mon
